Vlan951,
Port-channel3,--- chris test ---
GigabitEthernet0/0,
GigabitEthernet1/0/1,
GigabitEthernet1/0/2,
GigabitEthernet1/0/3,
GigabitEthernet1/0/4,
GigabitEthernet1/0/5,
GigabitEthernet1/0/6,
GigabitEthernet1/0/7,LTMPKSENTF0311
GigabitEthernet1/0/8,== FCPAGPKSEXTF0311 Mgnt ==
GigabitEthernet1/0/9,UOBRASPTHV01
GigabitEthernet1/0/10,
GigabitEthernet1/0/11,
GigabitEthernet1/0/12,
GigabitEthernet1/0/13,== LTMPKSEXTF0311 ==
GigabitEthernet1/0/14,
GigabitEthernet1/0/15,
GigabitEthernet1/0/16,
GigabitEthernet1/0/17,
GigabitEthernet1/0/18,
GigabitEthernet1/0/19,
GigabitEthernet1/0/20,
GigabitEthernet1/0/21,
GigabitEthernet1/0/22,
GigabitEthernet1/0/23,
GigabitEthernet1/0/24,
GigabitEthernet1/1/1,
GigabitEthernet1/1/2,
GigabitEthernet1/1/3,
GigabitEthernet1/1/4,
TenGigabitEthernet1/1/1,
TenGigabitEthernet1/1/2,
TenGigabitEthernet1/1/3,
TenGigabitEthernet1/1/4,
TenGigabitEthernet1/1/5,
TenGigabitEthernet1/1/6,
TenGigabitEthernet1/1/7,
TenGigabitEthernet1/1/8,
FortyGigabitEthernet1/1/1,
FortyGigabitEthernet1/1/2,
TwentyFiveGigE1/1/1,
TwentyFiveGigE1/1/2,
AppGigabitEthernet1/0/1,
GigabitEthernet2/0/1,
GigabitEthernet2/0/2,
GigabitEthernet2/0/3,
GigabitEthernet2/0/4,
GigabitEthernet2/0/5,
GigabitEthernet2/0/6,
GigabitEthernet2/0/7,
GigabitEthernet2/0/8,description == FCPAGPKSEXTF0312 Mgnt ==
GigabitEthernet2/0/9,
GigabitEthernet2/0/10,
GigabitEthernet2/0/11,
GigabitEthernet2/0/12,
GigabitEthernet2/0/13,== LTMPKSEXTF0312 ==
GigabitEthernet2/0/14,
GigabitEthernet2/0/15,
GigabitEthernet2/0/16,
GigabitEthernet2/0/17,
GigabitEthernet2/0/18,
GigabitEthernet2/0/19,
GigabitEthernet2/0/20,
GigabitEthernet2/0/21,
GigabitEthernet2/0/22,
GigabitEthernet2/0/23,*** Connect to PKS-0506-2960X-MGNT01-ST1 ***
GigabitEthernet2/0/24,
GigabitEthernet2/1/1,
GigabitEthernet2/1/2,
GigabitEthernet2/1/3,
GigabitEthernet2/1/4,
TenGigabitEthernet2/1/1,
TenGigabitEthernet2/1/2,
TenGigabitEthernet2/1/3,
TenGigabitEthernet2/1/4,
TenGigabitEthernet2/1/5,
TenGigabitEthernet2/1/6,
TenGigabitEthernet2/1/7,
TenGigabitEthernet2/1/8,
FortyGigabitEthernet2/1/1,
FortyGigabitEthernet2/1/2,
TwentyFiveGigE2/1/1,
TwentyFiveGigE2/1/2,
AppGigabitEthernet2/0/1,
Vlan1,
Vlan951,
